id,age time,age temp, Peak Frequency (Hz), Frequency Error, Thermal Diffusivity (m2/s), Thermal Error, Tau1, Tau2, Tau3,binary peak split 
./CF3-1.5kh-2020-08-06-07.60um-360C-spot33-POS-1.txt,1500,360,3.86E+08,4.41E+03,3.06E-06,5.44E-09,2.16E-08,2.83E-08,2.28E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot34-POS-1.txt,1500,360,3.92E+08,6.89E+03,3.11E-06,5.75E-09,2.10E-08,2.79E-08,2.26E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot35-POS-1.txt,1500,360,3.29E+08,5.04E+03,3.04E-06,4.71E-09,2.10E-08,3.32E-08,2.01E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot36-POS-1.txt,1500,360,3.85E+08,5.08E+03,3.02E-06,4.56E-09,1.94E-08,2.84E-08,2.11E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot37-POS-1.txt,1500,360,4.14E+08,2.16E+04,3.72E-06,7.56E-09,6.99E-09,2.64E-08,7.98E-09,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot38-POS-1.txt,1500,360,3.34E+08,3.32E+03,2.93E-06,8.64E-09,2.03E-08,3.28E-08,2.07E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot39-POS-1.txt,1500,360,3.46E+08,2.51E+04,3.24E-06,5.28E-09,1.33E-08,3.16E-08,2.09E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot4-POS-1.txt,1500,360,3.41E+08,5.02E+03,3.27E-06,8.12E-09,1.98E-08,3.21E-08,1.90E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot5-POS-1.txt,1500,360,3.49E+08,1.09E+04,3.47E-06,5.84E-09,1.97E-08,3.14E-08,1.94E-08,1
./CF3-1.5kh-2020-08-06-07.60um-360C-spot6-POS-1.txt,1500,360,3.69E+08,1.93E+04,3.13E-06,7.93E-09,1.41E-08,2.96E-08,1.71E-08,1
./CF3-1.5kh-2020-08-06-07.60um-360C-spot7-POS-1.txt,1500,360,3.76E+08,1.05E+04,3.15E-06,4.73E-09,1.80E-08,2.91E-08,2.13E-08,1
./CF3-1.5kh-2020-08-06-07.60um-360C-spot8-POS-1.txt,1500,360,3.32E+08,2.59E+04,3.09E-06,7.89E-09,1.06E-08,3.29E-08,1.41E-08,0
./CF3-1.5kh-2020-08-06-07.60um-360C-spot9-POS-1.txt,1500,360,3.44E+08,7.57E+03,3.31E-06,7.19E-09,1.89E-08,3.18E-08,2.08E-08,0
./CF3-1.5kh-2020-08-06-07.60um-400C-spot0-POS-1.txt,1500,400,3.63E+08,3.52E+03,3.03E-06,8.27E-09,1.99E-08,3.01E-08,2.16E-08,0
./CF3-1.5kh-2020-08-06-07.60um-400C-spot1-POS-1.txt,1500,400,3.61E+08,3.84E+03,2.97E-06,7.71E-09,1.75E-08,3.03E-08,1.78E-08,0
./CF3-1.5kh-2020-08-06-07.60um-400C-spot10-POS-1.txt,1500,400,3.95E+08,1.34E+04,3.63E-06,7.74E-09,1.63E-08,2.77E-08,2.12E-08,1
./CF3-1.5kh-2020-08-06-07.60um-400C-spot11-POS-1.txt,1500,400,4.82E+08,1.74E+04,3.53E-06,8.89E-09,1.43E-08,2.27E-08,1.69E-08,1
./CF3-1.5kh-2020-08-06-07.60um-400C-spot12-POS-1.txt,1500,400,3.32E+08,3.74E+04,3.33E-06,9.12E-09,1.32E-08,3.29E-08,1.88E-08,1
./CF3-1.5kh-2020-08-06-07.60um-400C-spot13-POS-1.txt,1500,400,3.71E+08,7.45E+03,3.17E-06,9.26E-09,1.66E-08,2.94E-08,1.62E-08,0
./CF3-1.5kh-2020-08-06-07.60um-400C-spot14-POS-1.txt,1500,400,3.74E+08,4.06E+05,3.52E-06,5.88E-09,1.59E-09,2.92E-08,1.89E-08,-
./CF3-1.5kh-2020-08-06-07.60um-400C-spot15-POS-1.txt,1500,400,4.08E+08,1.87E+04,3.56E-06,5.75E-09,1.28E-08,2.68E-08,1.62E-08,1
./CF3-1.5kh-2020-08-06-07.60um-400C-spot16-POS-1.txt,1500,400,4.51E+08,5.00E+03,3.83E-06,8.34E-09,1.42E-08,2.42E-08,1.61E-08,0
./CF3-1.5kh-2020-08-06-07.60um-400C-spot17-POS-1.txt,1500,400,4.47E+08,3.27E+03,3.85E-06,8.74E-09,1.77E-08,2.45E-08,2.01E-08,0
./CF3-1.5kh-2020-08-06-07.60um-400C-spot18-POS-1.txt,1500,400,3.73E+08,8.37E+03,3.47E-06,8.52E-09,1.80E-08,2.93E-08,1.79E-08,0
./CF3-1.5kh-2020-08-06-07.60um-400C-spot19-POS-1.txt,1500,400,3.76E+08,2.35E+04,3.59E-06,7.81E-09,1.12E-08,2.91E-08,1.13E-08,0
./CF3-1.5kh-2020-08-06-07.60um-400C-spot2-POS-1.txt,1500,400,3.41E+08,2.75E+03,3.13E-06,4.81E-09,2.07E-08,3.21E-08,2.10E-08,0
./CF3-1.5kh-2020-08-06-07.60um-400C-spot20-POS-1.txt,1500,400,4.05E+08,2.83E+03,3.31E-06,4.80E-09,2.18E-08,2.70E-08,2.40E-08,0
